project_name,used_dockerfile
openexr,False
stout,False
initialization-actions,True
cloud-spanner-emulator,True
elcarro-oracle-operator,True
k8s-cluster-bundle,False
testgrid,True
bazel-bsp,False
pcre2,False
bazel-diff,False
abseil-py,False
material.angular.io,False
vscode-ng-language-service,False
brpc,True
rules_js,False
autodiff,False
bazel-gazelle,False
bazel-skylib,False
bazel-toolchains,False
bazel-watcher,False
bazelisk,False
buildtools,False
rules_dotnet,True
rules_go,False
rules_jvm_external,False
rules_kotlin,False
rules_rust,False
starlark,False
bazel-deps,False
Catch2,False
verible,False
aTox,False
gTile,False
allocation-instrumenter,False
brotli,False
brunsli,False
cctz,False
cel-cpp,True
cel-spec,False
chrome-ssh-agent,False
closure-templates,False
copybara,True
cpu_features,True
double-conversion,False
flatbuffers,True
gemmlowp,False
go-jsonnet,False
guice,False
j2cl,False
jni-bind,False
re2,False
gapic-generator-go,True
grpc-gateway,True
grpc-java,True
grpc-kotlin,False
grpc-proto,False
bazel-compile-commands-extractor,False
polymorphic_value,True
rtorrent,True
prometheus-cpp,False
livegrep,True
opentitan,True
ocd-division-ids,False
gnmi,True
gnoi,False
cpuinfo,False
rules_spring,False
srpc,False
squzy,False
rules_proto,False
